subj:01000000                                arts, culture and entertainment                                     Arts, culture, et spectacles       
               subj:13019000                 biotechnology                                                       Biotechnologie                     
               subj:13020000                 agricultural research and technology                                Agronomie                          
               subj:13021000                 nanotechnology                                                      Nanotechnologie                    
               subj:13022000                 IT/computer sciences                                                Science de l'informatique          
               subj:13023000                 scientific institutions                                             Institutions scientifiques         
subj:14000000                                social issue                                                        Société                            
               subj:14001000                 addiction                                                           Toxicomanie                        
               subj:14002000                 charity                                                             Activités caritatives              
               subj:14003000                 demographics                                                        Démographie                        
                              subj:14003001  population and census                                               Recensement                        
                              subj:14003002  immigration                                                         Immigration                        
                              subj:14003003  illegal immigrants                                                  Immigration clandestine            
                              subj:14003004  emigrants                                                           Emigrés                            
               subj:14004000                 disabled                                                            Handicapés                         
               subj:14005000                 euthanasia (also includes assisted suicide)                         Euthanasie                         
                              subj:14005001  suicide                                                             Suicide                            
               subj:14006000                 family                                                              Famille                            
                              subj:14006001  parent and child                                                    Relation parent-enfant             
                              subj:14006002  adoption                                                            Adoption                           
                              subj:14006003  marriage                                                            Mariage                            
                              subj:14006004  divorce                                                             Divorce                            
                              subj:14006005  sex                                                                 Sexualité                          
                              subj:14006006  courtship                                                           Flirt                              
               subj:14007000                 family planning                                                     Contrôle des naissances            
               subj:14008000                 health insurance                                                    Assurance maladie                  
               subj:14009000                 homelessness                                                        Sans abris                         
               subj:14010000                 minority group                                                      Minorités                          
                              subj:14010001  gays and lesbians                                                   Homosexualité                      
                              subj:14010002  national or ethnic minority                                         Minorité ethnique ou nationale     
               subj:14011000                 pornography                                                         Pornographie                       
               subj:14012000                 poverty                                                             Pauvreté                           
               subj:14013000                 prostitution                                                        Prostitution                       
               subj:14014000                 racism                                                              Racisme                            
               subj:14015000                 welfare                                                             Protection sociale                 
               subj:14016000                 abortion                                                            Avortement                         
               subj:14017000                 missing person                                                      Personnes disparues                
                              subj:14017001  missing due to hostilities                                          Personnes disparues en temps de gue
               subj:14018000                 long term care                                                      Soins de longue durée              
               subj:14019000                 juvenile delinquency                                                Délinquance juvénile               
               subj:14020000                 nuclear radiation victims                                           victimes irradiées                 
               subj:14021000                 slavery                                                             Esclavage                          
               subj:14022000                 abusive behaviour                                                   Harcèlement                        
               subj:14023000                 death and dying                                                     Fin de vie et mort                 
               subj:14024000                 people                                                              Peuple                             
                              subj:14024001  children                                                            Enfants                            
                              subj:14024002  infants                                                             Bébé                               
                              subj:14024003  teen-agers                                                          Adolescent                         
                              subj:14024004  adults                                                              Adultes                            
                              subj:14024005  senior citizens                                                     Personnes âgées                    
               subj:14025000                 social issues (general)                                             Problèmes de société               
                              subj:14025001  social conditions                                                   Condition sociale                  
                              subj:14025002  social problems                                                     Problèmes sociaux                  
                              subj:14025003  discrimination                                                      Discrimination                     
                              subj:14025004  social services                                                     Services sociaux                   
                              subj:14025005  death penalty policies                                              Peine de mort                      
               subj:14026000                 ordnance clearance                                                  Déminage                           
               subj:14027000                 reconstruction                                                      Reconstruction                     
subj:15000000                                sport                                                               Sport                              
               subj:15001000                 aero and aviation sport                                             Sports aériens et d'aviation       
                              subj:15001001  parachuting                                                         Parachutisme                       
                              subj:15001002  sky diving                                                          Chute libre                        
               subj:15002000                 alpine skiing                                                       Ski alpin                          
                              subj:15002001  downhill                                                            Descente                           
                              subj:15002002  giant slalom                                                        Slalom Géant                       
                              subj:15002003  super G                                                             Super-G                            
                              subj:15002004  slalom                                                              Slalom                             
                              subj:15002005  combined                                                            Combiné                            
               subj:15003000                 American football                                                   Football américain                 
                              subj:15003001  (US) National Football League (NFL) (North American)                National Football League           
                              subj:15003002  CFL                                                                 entry deleted                      
                              subj:15003003  AFL-DEPRECATED                                                      AFL                                
               subj:15004000                 archery                                                             Tir à l'arc                        
                              subj:15004001  FITA / Outdoor target archery                                       Style FITA                         
                              subj:15004002  crossbow shooting                                                   Tir à l'arbalète                   
               subj:15005000                 athletics, track and field                                          Athlétisme                         
                              subj:15005001  100 m                                                               100m                               
                              subj:15005002  200 m                                                               200m                               
                              subj:15005003  400 m                                                               400m                               
                              subj:15005004  800 m                                                               800m                               
                              subj:15005005  1000 m                                                              1000m                              
                              subj:15005006  1500 m                                                              1500m                              
                              subj:15005007  mile                                                                Mile                               
                              subj:15005008  2000 m                                                              2000m                              
                              subj:15005009  3000 m                                                              3000m                              
                              subj:15005010  5000 m                                                              5000m                              
                              subj:15005011  10,000 m                                                            10000m                             
                              subj:15005012  20 km                                                               20km                               
                              subj:15005013  one hour                                                            L'heure                            
                              subj:15005014                                                                 2500025km                               
                              subj:15005015                                                                 3000030km                               
                              subj:15005016  110 m hurdles                                                       110mhaies                          
                              subj:15005017  400 m hurdles                                                       400mhaies                          
                              subj:15005018  3000 m steeplechase                                                 3000m steeple                      
                              subj:15005019  high jump                                                           Saut en hauteur                    
                              subj:15005020  pole vault                                                          Saut à la perche                   
                              subj:15005021  long jump                                                           Saut en longueur                   
                              subj:15005022  triple jump                                                         Triple saut                        
                              subj:15005023  shot put                                                            Lancer du poids                    
                              subj:15005024  discus throw                                                        Lancer du disque                   
                              subj:15005025  hammer throw                                                        Lancer de marteau                  
                              subj:15005026  javelin throw                                                       Lancer de javelot                  
                              subj:15005027  decathlon                                                           Decathlon                          
                              subj:15005028  4x100 m                                                             Relais 4x100 m                     
                              subj:15005029  4x200 m                                                             Relais 4x200 m                     
                              subj:15005030  4x400 m                                                             Relais 4x400 m                     
                              subj:15005031  4x800 m                                                             Relais 4x800 m                     
                              subj:15005032  4x1500 m                                                            Relais4x1500 m                     
                              subj:15005033  walk 1 h                                                            Marche 1h                          
                              subj:15005034  walk 2 h                                                            Marche 2h                          
                              subj:15005035  10 km walk                                                          10km marche                        
                              subj:15005036  15 km walk                                                          15km marche                        
                              subj:15005037  20 km walk                                                          20km marche                        
                              subj:15005038  30 km walk                                                          30km marche                        
                              subj:15005039  50 km walk                                                          50km marche                        
                              subj:15005040  100 m hurdles                                                       100m haies                         
                              subj:15005041  5 km walk                                                           5 km marche                        
                              subj:15005042  heptathlon                                                          heptathlon                         
                              subj:15005043  1500 m walk                                                         1500m marche                       
                              subj:15005044  2000 m walk                                                         2000m marche                       
                              subj:15005045  3000 m walk                                                         3000m marche                       
                              subj:15005046  50 m                                                                50m                                
                              subj:15005047  50 m hurdles                                                        50m haies                          
                              subj:15005048  50 yards                                                            50 yards                           
                              subj:15005049  50 yard hurdles                                                     50 yard haies                      
                              subj:15005050  60 m                                                                60m                                
                              subj:15005051  60 m hurdles                                                        60m haies                          
                              subj:15005052  60 yards                                                            60 yards                           
                              subj:15005053  60 yard hurdles                                                     60 yard haies                      
                              subj:15005054  100 yards                                                           100 yards                          
                              subj:15005055  100 yard hurdles                                                    100 yard haies                     
                              subj:15005056  300 m                                                               300m                               
                              subj:15005057  300 yards                                                           300 yards                          
                              subj:15005058  440 yards                                                           440 yards                          
                              subj:15005059  500 m                                                               500m                               
                              subj:15005060  500 yards                                                           500 yards                          
                              subj:15005061  600 m                                                               600m                               
                              subj:15005062  600 yards                                                           600 yards                          
                              subj:15005063  880 yards                                                           880 yards                          
                              subj:15005064  1000 yards                                                          1000 yards                         
                              subj:15005065  2 miles                                                             2 miles                            
                              subj:15005066  3 miles                                                             3 miles                            
                              subj:15005067  6 miles                                                             6 miles                            
                              subj:15005068  4x1 mile                                                            Relais 4x1 mile                    
                              subj:15005069  pentathlon                                                          Pentathlon                         
               subj:15006000                 badminton                                                           Badminton                          
               subj:15007000                 baseball                                                            Base-ball                          
                              subj:15007001  Major League Baseball (North American Professional) - American LeaguAmerican League                    
                              subj:15007002  Major League Baseball (North American Professional) - National LeaguNational League                    
                              subj:15007003  Major League Baseball (North American Professional) - Special (e.g. Special                            
                              subj:15007004  rubberball baseball                                                 Rubberball baseball                
                              subj:15007005  Major League Baseball Playoffs                                      Playoffs                           
                              subj:15007006  World Series                                                        World Series                       
               subj:15008000                 basketball                                                          Basket-ball                        
                              subj:15008001  National Basketball Association (North American Professional)       NBA                                
                              subj:15008002  professional - Women general                                        Ligue professionnelle féminine     
                              subj:15008003  Swiss netball                                                       Netball suisse                     
                              subj:15008004  German netball                                                      Netball allemand                   
                              subj:15008005  Dutch netball                                                       Netball néerlandais                
               subj:15009000                 biathlon                                                            Biathlon                           
                              subj:15009001  7.5 km                                                              7.5 km                             
                              subj:15009002  10 km                                                               10 km                              
                              subj:15009003  15 km                                                               15 km                              
                              subj:15009004  20 km                                                               20 km                              
                              subj:15009005  4x7.5 km relay                                                      Relais 4x7.5 km                    
                              subj:15009006  12.5 km pursuit                                                     Poursuite 12.5 km                  
               subj:15010000                 billiards, snooker and pool                                         Billards, snooker et pool          
                              subj:15010001  8 ball                                                              8 ball                             
                              subj:15010002  9 ball                                                              9 ball                             
                              subj:15010003                                                              14-janv.14.1 continu                       
                              subj:15010004  continuous-DEPRECATED                                               Continuous                         
                              subj:15010005  other-DEPRECATED                                                    Other                              
                              subj:15010006  snooker                                                             snooker                            
               subj:15011000                 bobsleigh                                                           Bobsleigh                          
                              subj:15011001  two-man sled                                                        Bob à deux                         
                              subj:15011002  four-man sled                                                       Bob à quatre                       
               subj:15012000                 bowling                                                             Bowling                            
               subj:15013000                 bowls and petanque                                                  Boule anglaise et pétanque         
               subj:15014000                 boxing                                                              Boxe                               
                              subj:15014001  super-heavyweight                                                   Super-lourds                       
                              subj:15014002  heavyweight                                                         Lourds                             
                              subj:15014003  cruiserweight                                                       Mi-lourds                          
                              subj:15014004  light-heavyweight                                                   Moyens                             
                              subj:15014005  super-middleweight                                                  Super mi-moyens                    
                              subj:15014006  middleweight                                                        Mi-moyens                          
                              subj:15014007  light-middleweight                                                  Super légers                       
                              subj:15014008  welterweight                                                        Légers                             
                              subj:15014009  light-welterweight                                                  Super-plumes                       
                              subj:15014010  lightweight                                                         Plumes                             
                              subj:15014011  super-featherweight                                                 Super-poids plumes                 
                              subj:15014012  featherweight                                                       Poids-plume                        
                              subj:15014013  super-bantamweight                                                  Super coq                          
                              subj:15014014  bantamweight                                                        Coq                                
                              subj:15014015  super-flyweight                                                     Super-mouches                      
                              subj:15014016  flyweight                                                           Mouches                            
                              subj:15014017  light flyweight                                                     Mi-mouches                         
                              subj:15014018  straw                                                               Pailles                            
                              subj:15014019  IBF                                                                 IBF                                
                              subj:15014020  WBA                                                                 WBA                                
                              subj:15014021  WBC                                                                 WBC                                
                              subj:15014022  WBO                                                                 WBO                                
                              subj:15014023  French boxing                                                       Boxe française                     
                              subj:15014024  Thai boxing                                                         Boxe Thai                          
               subj:15015000                 canoeing and kayaking                                               Canoë-kayak                        
                              subj:15015001  Slalom                                                              Slalom                             
                              subj:15015002  200 m                                                               200m                               
                              subj:15015003  500 m                                                               500m                               
                              subj:15015004  1000 m                                                              1000m                              
                              subj:15015005  K1                                                                  K1                                 
                              subj:15015006  K2                                                                  K2                                 
                              subj:15015007  K4                                                                  K4                                 
                              subj:15015008  C1                                                                  C1                                 
                              subj:15015009  C2                                                                  C2                                 
                              subj:15015010  C4                                                                  C4                                 
                              subj:15015011  canoe sailing                                                       Canoe à voile                      
                              subj:15015012  pontoniering                                                        Pontoniering                       
               subj:15016000                 climbing                                                            Alpinisme et escalade              
                              subj:15016001  mountaineering                                                      Alpinisme                          
                              subj:15016002  sport climbing                                                      Escalade                           
               subj:15017000                 cricket                                                             Cricket                            
               subj:15018000                 curling                                                             Curling                            
                              subj:15018001  icestock sport                                                      Crosse sur glace                   
               subj:15019000                 cycling                                                             Cyclisme                           
                              subj:15019001  track                                                               piste                              
                              subj:15019002  pursuit                                                             poursuite                          
                              subj:15019003  Olympic sprint                                                      Sprint Olympique                   
                              subj:15019004  sprint                                                              vitesse                            
                              subj:15019005  Keirin                                                              Keirin                             
                              subj:15019006  points race                                                         Course aux points                  
                              subj:15019007  Madison race                                                        course à l'Américaine              
                              subj:15019008  500 m time trial                                                    500 m contre la montre             
                              subj:15019009  1 km time trial                                                     1 km contre la montre              
                              subj:15019010  one hour                                                            1 heure                            
                              subj:15019011  road race                                                           Course en ligne                    
                              subj:15019012  road time trial                                                     Contre la montre                   
                              subj:15019013  staging race                                                        Course à étapes                    
                              subj:15019014  cyclo-cross                                                         cyclo-cross                        
                              subj:15019015  Vtt                                                                 Le VTT                             
                              subj:15019016  Vtt-cross                                                           Vtt cross                          
                              subj:15019017  Vtt-downhill                                                        Vtt descente                       
                              subj:15019018  bi-crossing                                                         Bicross                            
                              subj:15019019  trial                                                               VTT trial                          
                              subj:15019020  artistic cycling                                                    Cyclisme artistique                
                              subj:15019021  cycle ball                                                          Cycle balle                        
               subj:15020000                 dancing                                                             Danse sportive                     
               subj:15021000                 diving                                                              Plongeon                           
                              subj:15021001  10 m platform                                                       Haut vol 10 m                      
                              subj:15021002  10 m platform synchronised                                          Haut vol synchronisé               
                              subj:15021003  3 m springboard                                                     Tremplin 3 m                       
                              subj:15021004  3 m springboard synchronised                                        Tremplin synchronisé 3 m           
                              subj:15021005  subaquatics                                                         Subaquatique                       
                              subj:15021006  scuba diving                                                        Plongée sous-marine                
               subj:15022000                 equestrian                                                          Equitation                         
                              subj:15022001  three-day event                                                     Concours complet                   
                              subj:15022002  dressage                                                            dressage                           
                              subj:15022003  jumping                                                             Saut d'obstacles                   
                              subj:15022004  cross country                                                       Cross-country                      
               subj:15023000                 fencing                                                             Escrime                            
                              subj:15023001  epee                                                                Epée                               
                              subj:15023002  foil                                                                Fleuret                            
                              subj:15023003  sabre                                                               Sabre                              
               subj:15024000                 field Hockey                                                        Hockey sur gazon                   
                              subj:15024001  roll hockey                                                         Roll hockey                        
               subj:15025000                 figure Skating                                                      Patinage artistique                
                              subj:15025001  singles                                                             Individuel                         
                              subj:15025002  pairs                                                               Couple                             
                              subj:15025003  ice dance                                                           Danse                              
               subj:15026000                 freestyle Skiing                                                    Ski acrobatique                    
                              subj:15026001  moguls                                                              Ski de bosses                      
                              subj:15026002  aerials                                                             Saut acrobatique                   
                              subj:15026003  artistic skiing                                                     acroski                            
               subj:15027000                 golf                                                                Golf                               
               subj:15028000                 gymnastics                                                          Gymnastique artistique             
                              subj:15028001  floor exercise                                                      Sol                                
                              subj:15028002  vault                                                               Saut de cheval                     
                              subj:15028003  pommel horse                                                        Cheval d'arçon                     
                              subj:15028004  uneven bars                                                         Barres asymétriques                
                              subj:15028005  parallel bars                                                       Barres parallèles                  
                              subj:15028006  horizontal bar                                                      Barre fixe                         
                              subj:15028007  rings                                                               Anneaux                            
                              subj:15028008  beam                                                                Poutre                             
                              subj:15028009  rhythmic                                                            Gymnastique rythmique              
                              subj:15028010  clubs                                                               massues                            
                              subj:15028011  hoop                                                                cerceau                            
                              subj:15028012  ribbon                                                              ruban                              
                              subj:15028013  rope                                                                corde                              
                              subj:15028014  ball                                                                ballon                             
                              subj:15028015  trampoline                                                          trampoline                         
               subj:15029000                 handball (team)                                                     Handball                           
               subj:15030000                 horse racing, harness racing                                        Hippisme                           
                              subj:15030001  flat racing                                                         Course de plat                     
                              subj:15030002  steeple chase                                                       Course d'obstacles                 
                              subj:15030003  trotting                                                            Course de trot                     
                              subj:15030004  cross country                                                       Cross-country                      
               subj:15031000                 ice hockey                                                          Hockey sur glace                   
                              subj:15031001  National Hockey League (North American)                             NHL                                
                              subj:15031002  sledge hockey                                                       Sledge hockey                      
               subj:15032000                 Jai Alai (Pelota)                                                   Pelote basque                      
                              subj:15032001  fronton                                                             Place libre                        
                              subj:15032002  jai-alai                                                            Jai-alai                           
                              subj:15032003  left wall                                                           Mur gauche                         
                              subj:15032004  trinquet                                                            trinquet                           
                              subj:15032005  rebot                                                               rebot                              
